"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Inventory Page Test","","TC_002.00.02.01 | Test Inventory Page Sorting by price","0","2","0","0","0"
"Login Page Test","","TC_001.00.02 | Try to login unregistered/locked out user","0","5","0","0","0"
"Inventory Page Test","","TC_002.00.02.02 | Test Inventory Page Sorting by name","0","2","0","0","0"
"Login Page Test","","Try to navigate to inventory page while logged out","0","1","0","0","0"
"Checkout: Your Information Page Test","","TC_005.00.01 all fields are filled","0","1","0","0","0"
"Cart Page Test","","TC_004.00.02 Cart | Edit Cart ItemsAdd to Cart from inventory Page > Go To Cart > Dell > Continue Shopping","0","1","0","0","0"
"Checkout: Your Information Page Test","","TC_005.00.02 Zip/Postal Code is empty","0","1","0","0","0"
"Checkout: Your Information Page Test","","TC_005_ checkout layout","0","1","0","0","0"
"Cart Page Test","","TC_","0","1","0","0","0"
"Cart Page Test","","TC_004.00.02 Cart | Edit Cart ItemsAdd to Cart from inventory Page > Go To Cart > Dell","0","1","0","0","0"
"Login Page Test","","US_001.00 | Login Page > Login","0","1","0","0","0"
"Detailed Page Test","","TC_003.00.01 | Detailed item description","0","1","0","0","0"
"Inventory Page Test","","TC_002.01.01 | Add to Cart from inventory Page > button text changed","0","1","0","0","0"
"Cart Page Test","","TC_004.00 Cart | layout","0","1","0","0","0"
"Inventory Page Test","","TC_002.00.01 | Test Inventory Page content","0","1","0","0","0"
